Huvudrätt,Spansk hönsgryta
Huvudrätt,Stekta laxkuber i timjan- och rucolavinägrett
Huvudrätt,Strimlat kött
Huvudrätt,V-Gustavs festfisk
Huvudrätt,Veg. Jambalaya
Huvudrätt,Viltskav
Indiskt,Indiska påskägg
Italienskt,Etna
Italienskt,Italiensk tonfisk
Italienskt,Italienska köttbullar tomatsås
Italienskt,Pasta a la Bronett
Italienskt,Pesto
Italienskt,Pizzadeg
Italienskt,Skinka med tonfisk
Kaka,Ambrosiakaka
Kaka,Banankaka
Kaka,Gertruds kaka
Kaka,Kanelkaka
Kaka,Mockarutor / Kärleksmums / Snoddas
Kaka,Polska pinnar
Kaka,Tårta à la Eva-Carin
Kaka,Äppelkaka
Kaka,Äppelkaka sega
Kalv,Terrin a la Ellika
Kassler,Kassler- och grönsakswok
Kassler,Nasi goreng - 2021
Korvrätter,JAMBALAYA
Korvrätter,Katalansk korvgryta
Korvrätter,Korv Stroganoff
Korvrätter,Korv tricolor
Korvrätter,Korv- & rotgryta
Korvrätter,Korvgryta -92-1
Kräftor,Krossad potatis med Västerbottensost och rom
Kyckling,Coq au vin
Kyckling,Currykyckling
Kyckling,Gratinerad kyckling
Kyckling,Helstekt kyckling i ugn
Kyckling,JAMBALAYA
Kyckling,Kyckling i banan
Kyckling,Kyckling i örter
Kyckling,Kyckling och mozzarella i citronsirap
Kyckling,Kycklingklubbor med rostade primörer
Kyckling,Kycklingrullar med tomater i balsamvinäger
Kyckling,Olivers kyckling
Kyckling,Spansk hönsgryta
Lamm,Fruktig currygryta
Lamm,Lammnoisetter
Lamm,Lammstek
Lamm,Marinerat lamm
Lamm,Myntasås
Lamm,Navsikaas lammgryta
Lax,Jubileumslax
Lax,Kall lax- och räkpaj
Lax,Laxburgare med olivmajonnäs
Lax,Laxpaj a la Emma
Lax,Laxpudding
Lax,Laxragu
Lax,Philadelphialax på rotfrukter
Lax,Rosa laxbullar
Lax,Stekta laxkuber i timjan- och rucolavinägrett
Lunch,Blodpudding special
Lunch,Crepe
Lunch,Omelett
Lunch,Pannkakor
Lunch,Ugnsomelett och morotssallad
Mackor,Varm getostmacka
Mexikanskt,Chili con carne
Mexikanskt,Quesadillas
Nöt,Biff med bacon
Nöt,Biff rydberg
Nöt,Boeuf Bourguignon
Nöt,Italienska köttbullar tomatsås
Nöt,Slottsstek på oxfilé
Omelett,Ugnsomelett och morotssallad
Paj,Guldbakelser
Paj,Kall lax- och räkpaj
Paj,Laxpaj a la Emma
Paj,Mammas bärpaj
Paj,Rabarberkaka
Paj,Spenatpaj
Pasta,Italienska köttbullar tomatsås
Pasta,Kycklingrullar med tomater i balsamvinäger
Pasta,Spaghetti / skinksås
Pastasås,Etna
Pastasås,Pasta med skaldjur
Pastasås,Spaghetti / skinksås
Pastej,Terrin a la Ellika
Potatis,Krossad potatis med Västerbottensost och rom
Potatisrätter,Champinjonpotatis
Potatisrätter,Fransk raka
Potatisrätter,Olivers potatisgratäng
Potatisrätter,Potatisgratäng-1
Potatisrätter,Potatismostoppar
Potatisrätter,Rotmos
Potatisrätter,Rotsaksgratäng
Potatisrätter,Rårakor
Potatisrätter,Råstekt potatis
Prov,Boeuf Bourguignon
Prov,Helstekt kyckling i ugn
Puré,Blomkålspuré
Påsk,Fyllda påskägg
Påsk,Jubileumslax
Påsk,Terrin a la Ellika
Sillrätt,Hyttsill
Sillrätt,Sillknyten
Skaldjur,Krossad potatis med Västerbottensost och rom
Skaldjur,Paella
Skaldjur,Räkor med kräftsmak
Skaldjur,Thaigryta med rotsaker och räkor
Skaldjur,Wokade räkor
Soppa,Champinjonsoppa
Soppa,Clam chowder
Soppa,Gazpacho Andaluz
Soppa,Gazpacho Extremadura
Soppa,Svampsoppa
Soppa,Thaisoppa med räkor och grönsaker
Spanskt,Aioli
Spanskt,Gazpacho Andaluz
Spanskt,Gazpacho Extremadura
Spanskt,Katalansk korvgryta
Spanskt,Mojo
Spanskt,Paella
Spanskt,Spansk hönsgryta
Stek,Nötstek
Stek,Porterstek
Stek,Slottsstek på oxfilé
Såser,Aioli
Såser,Chokladsås
Såser,Hovmästarsås
Såser,Indiennsås
Såser,Krämig grönsakssås
Såser,Olivmajonnäs
Såser,Svartpepparsås
Såser,Tomatsaltsa
Såser,Ädelostsås m. sherry
Thai,Thaigryta med rotsaker och räkor
Thai,Thaisoppa med räkor och grönsaker
Ugn,Blomkåls-Jansson
Ugn,Br. Jacobs fläskfilé
Ugn,Fläskfilé Rydberg med senapscrème
Ugn,Guldbakelser
Ugn,Kassler med örtsmör
Ugn,Kycklingklubbor med rostade primörer
Ugn,Kycklingrullar med tomater i balsamvinäger
Ugn,Laxpaj a la Emma
Ugn,Navsikaas lammgryta
Ugn,Nötstek
Ugn,Ostgrat. broccoli
Ugn,Philadelphialax på rotfrukter
Ugn,Sillknyten
Ugn,Stenborgs limpa
Ugn,Ugnsomelett och morotssallad
Vegetarisk,Crepe
Vegetarisk,Curryrostade morötter
Vegetarisk,Grönsaksgratäng
Vegetarisk,Rotmos
Vegetarisk,Rårakor
Vegetarisk,Squashgratäng
Vegetarisk,Thaisoppa med räkor och grönsaker
Vegetarisk,Veg. Jambalaya
Vegetarisk,Veg.Grekisk Moussaka
Vilt,Viltskav
Wok,Kassler- och grönsakswok
Wok,Nasi goreng - 2021
Wok,Wokade räkor
Yoghurt,Citronyoghurt
