Champinjonsoppa,10,cayennepeppar,1,krm
Champinjonsoppa,10,salt,1,krm
Champinjonsoppa,10,sherry,1,msk
Champinjonsoppa,11,persilja,0.5,bunt
Champinjonsoppa,3,gul lök,1,st
Champinjonsoppa,4,margarin,1,msk
Champinjonsoppa,6,vetemjöl,3,msk
Champinjonsoppa,7,grönsaksbuljong,1,st
Champinjonsoppa,8,ost,200,g
Champinjonsoppa,9,vatten,6,dl
Chili con carne,1,gul lök,2,st
Chili con carne,1,matolja,2,msk
Chili con carne,2,vitlöksklyfta,2,st
Chili con carne,3,blandfärs,400,g
Chili con carne,4,chilipulver,1,msk
Chili con carne,4,oregano,1,tsk
Chili con carne,4,oxbuljong,1,st
Chili con carne,4,tomatpuré,1,dl
Chili con carne,4,vatten,1,dl
Chili con carne,6,vita bönor,900,g
Chili con carne,7,cayennepeppar,1,krm
Chili con carne,7,salt,1,tsk
Chili con carne,7,svartpeppar,1,krm
Chokladsås,1,choklad,175,g
Chokladsås,2,farin,50,g
Chokladsås,2,kaffepulver,1,tsk
Chokladsås,2,mjölk,2,dl
Citronyoghurt,1,citronskal rivet,1,tsk
Citronyoghurt,1,honung,2,tsk
Citronyoghurt,1,vitlöksklyfta,0.5,st
Citronyoghurt,1,yoghurt turkisk 10 %,2,dl
Citronyoghurt,2,salt,2,krm
Citronyoghurt,2,svartpeppar,1,krm
Clam chowder,1,fläsk,50,g
Clam chowder,10,salt,0,
Clam chowder,10,vitpeppar,0,
Clam chowder,11,grädde,1,dl
Clam chowder,12,persilja,0,
Clam chowder,2,gul lök,2,st
Clam chowder,2,potatis,4,st
Clam chowder,4,lagerblad,1,st
Clam chowder,4,vatten,8,dl
Clam chowder,4,vitpepparkorn,5,st
Clam chowder,5,buljong,1,st
Clam chowder,9,musslor,250,g
Coq au vin,1,ungtupp,1,st
Coq au vin,10,rödvin,3,dl
Coq au vin,11,blekselleri,1,bit
Coq au vin,11,lagerblad,1,st
Coq au vin,11,persilja,3,st
Coq au vin,11,timjan,1,kvist
Coq au vin,11,vitpepparkorn,4,st
Coq au vin,13,champinjoner,20,st
Coq au vin,14,pärllök,20,st
Coq au vin,17,arrowrotmjöl,1,tsk
Coq au vin,18,salt,0,
Coq au vin,18,vitpeppar,0,
Coq au vin,2,mjöl,3,msk
Coq au vin,2,salt,1,tsk
Coq au vin,2,vitpeppar,0,tsk
Coq au vin,4,rökt sidfläsk,100,g
Coq au vin,6,smör,1,msk
Coq au vin,8,gul lök,1,st
Crepe,2,majsstärkelse,2,msk
Crepe,2,salt,0.5,tsk
Crepe,2,vetemjöl,5.5,dl
Crepe,2,växtbaserad mjölk,8,dl
Crepe,5,champinjoner,250,g
Crepe,5,lök,1,st
Crepe,5,olja,1,msk
Crepe,6,peppar,1,krm
Crepe,6,salt,1,krm
Crepe,6,soja,1,msk
Crepe,6,tofu,270,g
Crepe,6,växtbaserad  matlagningsgrädde,1,dl
Crepe,7,vegansk ost,1,tsk
Curryfisk i krämig sås,1,ris,3,dl
Curryfisk i krämig sås,2,purjolök,0.5,st
Curryfisk i krämig sås,2,röd paprika,1,st
Curryfisk i krämig sås,3,curry,1,msk
Curryfisk i krämig sås,3,mango chutney,1,msk
Curryfisk i krämig sås,4,crème fraiche,2,dl
Curryfisk i krämig sås,5,torsk,600,g
Currygryta,1,fläsk,500,g
Currygryta,10,räkor,100,g
Currygryta,2,gul lök,1,st
Currygryta,3,purjolök,1,st
Currygryta,4,smör,2,msk
Currygryta,5,curry,1,msk
Currygryta,6,banan,1,st
Currygryta,7,crème fraiche,2,dl
Currygryta,8,oxbuljong,2,dl
Currykyckling,1,kycklingfilé,500,g
Currykyckling,2,gul lök,1,st
Currykyckling,4,curry,1,msk
Currykyckling,5,kycklingbuljong,1,trn
Currykyckling,5,vatten,2,dl
Currykyckling,8,crème fraiche,2,dl
Currykyckling,8,vatten,1,dl
Currykyckling,8,vetemjöl,1,msk
Currykyckling,9,avokado,2,st
Curryrostade morötter,11,couscous,4,pers
Curryrostade morötter,13,citronsaft,2,msk
Curryrostade morötter,13,curry,1,tsk
Curryrostade morötter,13,honung,2,msk
Curryrostade morötter,13,majonnäs,1.5,dl
Curryrostade morötter,13,salt,1,krm
Curryrostade morötter,17,aprikoser,1,dl
Curryrostade morötter,17,dill,1,kruka
Curryrostade morötter,3,chiliflakes,1,msk
Curryrostade morötter,3,curry,4,tsk
Curryrostade morötter,3,smör,100,g
Curryrostade morötter,3,vitlök,2,klyfta
Curryrostade morötter,5,morot,8,st
Curryrostade morötter,5,salt,1,krm
Curryrostade morötter,9,pistagenöt,1,dl
Duglères fisk,1,torsk,400,g
Duglères fisk,10,grädde,0.5,dl
Duglères fisk,10,persilja,2,msk
Duglères fisk,11,grädde,0.5,dl
Duglères fisk,11,ägg,3,st
Duglères fisk,13,citron,2,msk
Duglères fisk,13,smör,1,msk
Duglères fisk,13,vitpeppar,1,krm
Duglères fisk,2,tomat,2,st
Duglères fisk,4,margarin,1,msk
Duglères fisk,4,rödlök,1,st
Duglères fisk,5,fiskbuljong,1,st
Duglères fisk,5,vatten,2,dl
Duglères fisk,5,vitpeppar,1,krm
Duglères fisk,5,vitt torrt vin,1,dl
Etna,1,gul lök,1,st
Etna,1,röd paprika,1,st
Etna,2,basilika,1,krm
Etna,2,matfett,1,msk
Etna,2,vitlöksklyfta,2,st
Etna,4,ansjovisfiléer,8,st
Etna,4,svarta oliver,20,st
Etna,5,kapris,2,msk
Farfars kalops,1,nötkött,2,kg
Farfars kalops,2,salt,3,tsk
Farfars kalops,2,vetemjöl,5,msk
Farfars kalops,4,matfett,1,msk
Farfars kalops,5,kryddpeppar,30,st
Farfars kalops,5,lagerblad,8,st
Farfars kalops,5,salt,1,tsk
Farfars kalops,5,vatten,1.5,l
Farfars kalops,8,morot,5,st
Finsk saftpudding,1,blandsaft,3,dl
Finsk saftpudding,1,vetemjöl,1,dl
Finsk saftpudding,2,vatten,3,dl
Fiskbullar i saffran,1,gurka,0.5,st
Fiskbullar i saffran,2,matfett,1,msk
Fiskbullar i saffran,3,mjöl,2,msk
Fiskbullar i saffran,3,saffran,0,g
Fiskbullar i saffran,4,fiskbuljong,3,dl
Fiskbullar i saffran,4,grädde,3,dl
Fiskbullar i saffran,6,fiskbullar,2,burk
Fiskgratäng,3,rödtunga,600,gr
Fiskgratäng,3,salt,1,
Fiskgratäng,4,citron,1,st
Fiskgratäng,4,vatten,0.8999999761581421,dl
Fiskgratäng,6,musslor,1,115 g
Fiskgratäng,6,räkor,600,gr
Fiskgratäng,7,champinjonstuvning,1,200 g
Fiskgratäng,7,majonnäs,1,dl
Fiskgratäng,8,riven ost,1,dl
Fiskgryta Hawaii,1,torskfilé,600,g
Fiskgryta Hawaii,10,gräslök,20,strån
Fiskgryta Hawaii,2,ananasskivor,200,g
Fiskgryta Hawaii,3,gul lök,2,st
Fiskgryta Hawaii,3,vitlöksklyfta,1,st
Fiskgryta Hawaii,4,matfett,1,msk
Fiskgryta Hawaii,5,curry,1,tsk
Fiskgryta Hawaii,5,vetemjöl,1,msk
Fiskgryta Hawaii,6,grädde,2,dl
Fiskgryta Hawaii,7,banan,1,st
Fiskgryta Hawaii,7,grön paprika,60,g
Fiskgryta Hawaii,7,röd paprika,60,g
Fiskgryta Hawaii,9,paprikapulver,2,krm
Fiskgryta Hawaii,9,salt,1,krm
Fiskgryta Hawaii,9,svartpeppar,1,krm
Fläskfilé Provencale,1,persilja,3,dl
Fläskfilé Provencale,1,smör,200,gr
Fläskfilé Provencale,1,vitlöksklyfta,2,st
Fläskfilé Provencale,10,olja,0,
Fläskfilé Provencale,10,salt,0,
Fläskfilé Provencale,10,svartpeppar,0,
Fläskfilé Provencale,2,potatis,10,st
Fläskfilé Provencale,3,vitlöksklyfta,1,st
Fläskfilé Provencale,4,smör,0,
Fläskfilé Provencale,5,riven ost,1,dl
Fläskfilé Provencale,5,salt,0,
Fläskfilé Provencale,5,vitpeppar,0,
Fläskfilé Provencale,6,grädde,2,dl
Fläskfilé Provencale,6,mjölk,1,dl
Fläskfilé Provencale,7,fläskfilé,800,gr
Fläskfilé Rydberg med senapscrème,2,potatis,800,g
Fläskfilé Rydberg med senapscrème,3,olja,1,msk
Fläskfilé Rydberg med senapscrème,3,peppar,1,krm
Fläskfilé Rydberg med senapscrème,3,salt,0.5,tsk
Fläskfilé Rydberg med senapscrème,3,smör,2,msk
Fläskfilé Rydberg med senapscrème,4,gul lök,2,st
Fläskfilé Rydberg med senapscrème,4,smör,2,msk
Fläskfilé Rydberg med senapscrème,5,peppar,1,krm
Fläskfilé Rydberg med senapscrème,5,persilja,0.5,dl
Fläskfilé Rydberg med senapscrème,5,salt,1,krm
Fläskfilé Rydberg med senapscrème,6,olja,1,msk
Fläskfilé Rydberg med senapscrème,6,peppar,1,krm
Fläskfilé Rydberg med senapscrème,6,zucchini,300,g
Fläskfilé Rydberg med senapscrème,7,crème fraiche,2,dl
Fläskfilé Rydberg med senapscrème,7,dijonsenap,2,msk
Fläskfilé Rydberg med senapscrème,7,honung flytande,1,msk
Fläskfilé Rydberg med senapscrème,7,persilja,0.5,dl
Fläskfilé Rydberg med senapscrème,7,salt,0.5,tsk
Fläskfilé Rydberg med senapscrème,7,svartpeppar,2,krm
Fläskfilé Rydberg med senapscrème,8,fläskfilé,1,kg
Fläskfilé Sinkadus,1,tomat,6,st
Fläskfilé Sinkadus,2,fläskfilé,600,g
Fläskfilé Sinkadus,3,salt,1,stnk
Fläskfilé Sinkadus,3,svartpeppar,1,stnk
Fläskfilé Sinkadus,4,smör,1,msk
Fläskfilé Sinkadus,5,champinjoner,150,g
Fläskfilé Sinkadus,6,matlagningsgrädde,2,dl
Fläskfilé Sinkadus,6,skånsk senap,2,msk
Fläskfilé Sinkadus,6,vitlökspulver,2,krm
Fläskfilé Sinkadus,7,rökt skinka,200,g
Fläskfilé Sinkadus,9,riven ost,2,dl
Fransk chokladtårta,1,mörk blockchoklad,175,g
Fransk chokladtårta,2,margarin,175,g
Fransk chokladtårta,4,matfett,1,msk
Fransk chokladtårta,5,nötkärnor,1,dl
Fransk chokladtårta,6,kaffepulver,2,tsk
Fransk chokladtårta,6,vetemjöl,1,dl
Fransk chokladtårta,7,ägg,4,st
Fransk chokladtårta,9,socker,2,dl
Fransk citronkaka,1,salt,1,krm
Fransk citronkaka,1,socker,0.5,dl
Fransk citronkaka,1,vetemjöl,3,dl
Fransk citronkaka,13,citron,1,st
Fransk citronkaka,15,florsocker,3,msk
Fransk citronkaka,2,smör,125,g
Fransk citronkaka,3,ägg,1,st
Fransk citronkaka,8,apelsin,1,st
Fransk citronkaka,8,citron,2,st
Fransk citronkaka,9,matlagningsgrädde,1,dl
Fransk citronkaka,9,socker,1.5,dl
Fransk citronkaka,9,ägg,3,st
Fransk raka,1,gul lök,4,st
Fransk raka,1,potatis,6,st
Fransk raka,3,ägg,4,st
Fransk raka,4,matolja,4,msk
Fransk spättafilé,10,spättafilé,600,gr
Fransk spättafilé,2,gul lök,1,st
Fransk spättafilé,3,smör,1,msk
Fransk spättafilé,4,crème fraiche,2,dl
Fransk spättafilé,5,fransk senap,1,msk
Fransk spättafilé,5,mjölk,1,dl
Fransk spättafilé,5,persilja,0.5,dl
Fransk spättafilé,5,rökt skinka,50,gr
Fransk spättafilé,7,fiskbuljong,1,tärn
Frasiga snibbar,10,dillkvistar,2,st
Frasiga snibbar,2,smördeg,1,st
Frasiga snibbar,4,ägg,1,
Frasiga snibbar,6,crème fraiche,150,g
Frasiga snibbar,7,räkor,16,st
Frasiga snibbar,8,rödlök,1,st
Frasiga snibbar,9,fiskrom,100,g
Fruktig currygryta,1,gul lök,2,st
Fruktig currygryta,1,lammkött,500,g
Fruktig currygryta,2,olja,2,msk
Fruktig currygryta,3,curry,1,msk
Fruktig currygryta,4,salt,2,tsk
Fruktig currygryta,5,aprikoser,10,torkade
Fruktig currygryta,5,katrinplommon,10,st
Fruktig currygryta,5,russin,0.5,dl
Fruktig currygryta,5,äppelcidervinäger,0.5,msk
Fruktig currygryta,5,äppelringar torkade,10,st
Fruktig currygryta,6,vatten,5,dl
Fruktig currygryta,7,basmatiris,4,port
Fruktig currygryta,8,bananer,2,st
Fruktig currygryta,9,salta jordnötter,0.5,dl
Fyllda påskägg,1,ägg,12,st
Fyllda påskägg,10,dill,1,msk
Fyllda påskägg,10,löjrom,2,msk
Fyllda påskägg,10,rödlök,1,msk
Fyllda påskägg,11,peppar,1,krm
Fyllda påskägg,11,salt,1,krm
Fyllda påskägg,2,grädde,2,dl
Fyllda påskägg,3,smör,3,msk
Fyllda påskägg,8,bacon,2,msk
Fyllda påskägg,8,gräslök,1,msk
Fyllda påskägg,8,gröna oliver,1,msk
Fyllda påskägg,8,parmesanost,1,msk
Fyllda påskägg,9,dill,1,msk
Fyllda påskägg,9,gräslök,1,msk
Fyllda påskägg,9,rökt ål,100,g
Färskost med löjrom,1,crème fraiche,2,dl
Färskost med löjrom,1,philadelphiaost,200,g
Färskost med löjrom,2,gräslök,1,kruka
Färskost med löjrom,2,löjrom,100,g
Färskost med löjrom,2,rödlök,1,st
Färskost med löjrom,3,baguette,1,st
Färsrullader,1,brödskivor,2,st
Färsrullader,1,grädde,1,dl
Färsrullader,1,vatten,1,dl
Färsrullader,2,fläskfärs,400,g
Färsrullader,2,salt,1,tsk
Färsrullader,3,potatismjöl,1,tsk
Färsrullader,3,svartpeppar,1,krm
Färsrullader,3,ägg,1,st
Färsrullader,4,rökt skinka,4,skiv
Färsrullader,4,svamp,100,g
Färsrullader,5,dragon,1,tsk
Färsrullader,5,persilja,2,msk
Färsrullader,6,matfett,0,
Färsrullader,7,buljong,1,dl
Färsrullader,8,grädde,1,dl
Färsrullader,9,arrowrotmjöl,0,
Gazpacho Andaluz,1,grönsaksbuljong,1,tärn.
Gazpacho Andaluz,1,vatten,1,lit.
Gazpacho Andaluz,2,gräslök,1,Knipp
Gazpacho Andaluz,2,grön paprika,1,st
Gazpacho Andaluz,2,gurka,1,st
Gazpacho Andaluz,2,persilja,1,Knipp
Gazpacho Andaluz,2,röd paprika,1,st
Gazpacho Andaluz,2,tomat,6,st
Gazpacho Andaluz,3,chilipeppar,2,krm
Gazpacho Andaluz,3,citron,1,st
Gazpacho Andaluz,3,körvel,2,tsk
